omega,kappa,kappaR,R,c0,A1,A2,A3,B1,B2,B3,A1_Manton,B1_M7,A2_quartic,A1_over_Manton,B1_over_M7,B1_over_A1,omega_over_kappa,A2_over_quartic,c0_over_2A2quartic,deltaA1_over_4A2quartic
0.95,0.31224989991991997,5.5,17.614096918559582,-4.8837143289117185e-05,0.002608033264045842,-2.4375844852729513e-05,2.184864695405986e-08,0.008231732388804227,-9.649863309095949e-19,1.575874118061177e-09,0.0027550047015640336,0.008381922515129888,-2.4950857677974767e-05,0.9466529267863845,0.9820816613307318,3.1562988487479413,3.0424349222966547,0.9769541859976684,0.9786666237976241,1.4726090723519465
0.95,0.31224989991991997,6.0,19.215378456610452,-1.8118921164338545e-05,0.0016165345678890333,-9.049810894208427e-06,4.9375734680108725e-09,0.005028406110253087,-5.300047183621028e-19,3.5665470359408146e-10,0.0016709948191510403,0.005083892992761908,-9.178907579321549e-06,0.9674084858685105,0.9890857493287488,3.110608464636471,3.0424349222966547,0.9859355065951472,0.9869867959645471,1.4832988237264815
0.95,0.31224989991991997,7.0,22.417941532712195,-2.4724998763463217e-06,0.0006073019467641309,-1.235763795366669e-06,2.4890561297006303e-10,0.001862719169060836,4.2068709219538575e-20,1.800467386497615e-11,0.0006147246402696601,0.0018702597131526623,-1.242230057050173e-06,0.9879251732901531,0.9959681834352752,3.0672043437138767,3.0424349222966547,0.9947946343378143,0.9951859811770997,1.4938242444308647
0.95,0.31224989991991997,8.0,25.620504608813935,-3.356384239264675e-07,0.0002251373825106114,-1.6779490265614152e-07,1.2449253396880983e-11,0.0006870080351490819,5.2234985258542987e-20,9.009890266263237e-13,0.00022614455713671844,0.0006880300981200634,-1.681175566159186e-07,0.9955463238255249,0.9985145083423326,3.051505829409299,3.0424349222966547,0.9980807836714268,0.9982253807473156,1.497723745188645
0.95,0.31224989991991997,9.0,28.823067684915678,-4.5474744400073467e-08,8.305749614365565e-05,-2.273615996664577e-08,6.208591665089762e-13,0.0002529737289552986,5.011617241245344e-20,4.4942016363589215e-14,8.319393330341929e-05,0.00025311212800554155,-2.2752237141662628e-08,0.9983600107081602,0.999453210514512,3.04576637511149,3.0424349222966547,0.999293380474335,0.9993466602192417,1.4991620265091115
0.98,0.1989974874213242,5.5,27.638539919628304,-7.137251263027481e-06,0.0004056094631039144,-3.566240784966058e-06,1.2034478338849622e-09,0.002067733310785017,-5.459595248576559e-19,5.7725278560919864e-11,0.00042706948764293794,0.002103182825640192,-3.6346009669692672e-06,0.9497505086175444,0.9831448248706651,5.097842873195682,4.924685294770134,0.9811918329895203,0.9818479838488183,1.4760921992571652
0.98,0.1989974874213242,6.0,30.15113445777633,-2.644609994364431e-06,0.00025108606711408824,-1.3217672142529095e-06,2.714464063103064e-10,0.0012625534420991728,8.178018999738537e-20,1.3053432058703557e-11,0.00025903073808320755,0.0012756448667318263,-1.3370949726098377e-06,0.969329234715892,0.9897374065666149,5.02836918276909,4.924685294770134,0.9885365223331815,0.9889387248246442,1.4854350535796899
0.98,0.1989974874213242,7.0,35.17632353407239,-3.6043281940143773e-07,9.421024153030606e-05,-1.801893574413608e-07,1.365805086544756e-11,0.00046750511793846927,1.1610138874483405e-19,6.584168835989135e-13,9.529208317227664e-05,0.0004692835207065233,-1.809561268324033e-07,0.9886470984161954,0.9962103873467013,4.9623598278121355,4.924685294770134,0.9957626779238448,0.9959121741571673,1.49461869695707
0.98,0.1989974874213242,8.0,40.20151261036844,-4.890571666234361e-08,3.490925404851827e-05,-2.4451506350347036e-08,6.826461229754883e-13,0.00017239874518466998,2.1762033304800628e-20,3.293830968791132e-14,3.505599830547973e-05,0.00017263975934848273,-2.4489748678263702e-08,0.9958140043343591,0.9986039475221565,4.93848264259853,4.924685294770134,0.9984384352645231,0.998493641254692,1.4980171794463946
0.98,0.1989974874213242,9.0,45.2267016866645,-6.6249785486673686e-09,1.2876504779942851e-05,-3.312421868228062e-09,3.40357431799554e-14,6.347798384240982e-05,-6.794461310320428e-21,1.6428102091077582e-15,1.2896381066326914e-05,6.351061819309213e-05,-3.314327073766279e-09,0.9984587702331501,0.9994861591398293,4.9297526718031905,4.924685294770134,0.9994251606749083,0.9994454984702199,1.4992701340031012
