tag,target_kappaR,actual_kappaR,R,omega,kappa,a1_mid,a3_mid,A3_full,A3_fundamental_exact,A3_sextic_direct,A3_quartic_via_u3,A3_quadratic_u3,A3_order6_sum,A3_asym_local,full_over_order6,full_over_asym_local,order6_over_asym_local,A3_over_A1,phase_fit_rms
spp320,6.5,6.553697392725339,12.3046875,0.8463557896693058,0.5326179468373609,0.15670155009354317,0.001141730594026876,1.6573381958877803e-07,2.3929724349228876e-07,2.538366783742065e-07,-4.1358692430629024e-07,3.1557567969119405e-07,1.558254337591104e-07,2.7028670312223424e-07,1.0635864479285515,0.6131778503133641,0.5765190516554565,2.3848844914548746e-05,3.014254394343164e-08
spp320,6.75,6.709737806837847,12.59765625,0.8463557896693058,0.5326179468373609,0.14505445834280298,0.0010915943193626227,-4.728643339846661e-08,1.5180693021826365e-07,1.5969860072299494e-07,-2.887380699213995e-07,7.472797288951388e-08,-5.4311496308890637e-08,1.7004795587113457e-07,0.8706523777126346,-0.2780770468908261,-0.3193892924537645,-7.895456891059566e-06,3.000941135623205e-08
spp320,7.0,7.021818635062862,13.18359375,0.8463557896693058,0.5326179468373609,0.12430830162406006,0.0009043672125887255,-3.621422048288621e-07,6.093705224536397e-08,6.325799437251584e-08,-1.2155571091247377e-07,-3.064533949193643e-07,-3.6475111145932224e-07,6.735746328931438e-08,0.9928474333634729,-5.376422851219703,-5.41515510898384,-8.158343907513803e-05,2.985500794665597e-08
spp320,7.25,7.177859049175371,13.4765625,0.8463557896693058,0.5326179468373609,0.11509028800786716,0.000778711062704383,-4.449084973323324e-07,3.8583993523538814e-08,3.9842509243604036e-08,-7.481794068998115e-08,-4.114073119117548e-07,-4.463827433581319e-07,4.242452484228985e-08,0.9966973498690636,-10.487059053371794,-10.521808906935975,-0.00011651909862791542,2.9874738305424686e-08
spp320,7.5,7.489939877400387,14.0625,0.8463557896693058,0.5326179468373609,0.0986963368383552,0.0005170311481002013,-4.210557435912558e-07,1.547538924854676e-08,1.5846042792299758e-08,-3.175285476172806e-08,-4.0567391447521996e-07,-4.215807264446481e-07,1.6872954260576045e-08,0.9987547275753811,-24.954476678400056,-24.985590545318964,-0.00014921404192018032,3.014027874704549e-08
spp320,7.75,7.802020705625403,14.6484375,0.8463557896693058,0.5326179468373609,0.08470993960509093,0.00041429685046348396,-1.5300099413759006e-07,6.224913104052575e-09,6.334624169955272e-09,-2.412907926959989e-08,-1.3547683504314016e-07,-1.5327129014278476e-07,6.745142953263643e-09,0.9982364863964875,-22.683135879805246,-22.723208567229005,-7.345687850448314e-05,3.06411381797839e-08
spp320,8.0,7.958061119737911,14.94140625,0.8463557896693058,0.5326179468373609,0.07851376704625354,0.00048577557430519967,4.4292659145733844e-08,3.956089977803435e-09,4.015961227868406e-09,-2.464844679974502e-08,6.472689679161254e-08,4.409441121973593e-08,4.276217791296039e-09,1.004495987598292,10.357905351754686,10.311544774330066,2.475971285420885e-05,3.0933324616483854e-08
spp320,8.25,8.270141947962927,15.52734375,0.8463557896693058,0.5326179468373609,0.06753002975589076,0.0007440980125956824,4.6312013082446733e-07,1.6079195600534721e-09,1.6259091210619697e-09,-2.4984454677945616e-08,4.864133101258055e-07,4.630547645689219e-07,1.7312770507513227e-09,1.0001411631205357,267.5020330359528,267.4642769439876,0.0003511285798009493,3.149237289939091e-08
spp320,8.5,8.426182362075435,15.8203125,0.8463557896693058,0.5326179468373609,0.06267632676648864,0.0008775162376735351,6.382747181974544e-07,1.0293698352599385e-09,1.0392878198893177e-09,-2.3476643053221235e-08,6.607045241157478e-07,6.382671688824157e-07,1.106639435372955e-09,1.0000118278291703,576.7684557367556,576.7616338986778,0.0005636943923665402,3.1718234481201325e-08
spp320,8.75,8.73826319030045,16.40625,0.8463557896693058,0.5326179468373609,0.05409777560349538,0.0010927522057664891,8.224417590121069e-07,4.266641616732055e-10,4.2972544460968335e-10,-1.742979424853291e-08,8.39510949724456e-07,8.225108809205329e-07,4.5757403703518555e-10,0.9999159623173025,1797.3960330901914,1797.5470947825766,0.0009858557683619681,3.198407698123502e-08
