target_kappaR,actual_kappaR,delta,delta_over_pi,Fbar,Pi_left
6.0,5.929535736275306,2.552544031041707,0.8125000000000001,-0.010736613976090732,0.011130644910297978
6.0,5.929535736275306,2.650718801466388,0.84375,-0.011392949444792109,0.009444241376348453
6.0,5.929535736275306,2.748893571891069,0.875,-0.011940042102981576,0.00766689364546152
6.0,5.929535736275306,2.84706834231575,0.90625,-0.012371912804563769,0.005815717559339947
6.0,5.929535736275306,2.945243112740431,0.9374999999999999,-0.012683826453271738,0.003908539408718674
6.0,5.929535736275306,3.043417883165112,0.96875,-0.01287235695349432,0.0019637244125889613
6.0,5.929535736275306,3.141592653589793,1.0,-0.012935431667050993,1.7969973382589433e-15
6.0,5.929535736275306,3.2397674240144743,1.03125,-0.012872356953494337,-0.0019637244125853843
6.0,5.929535736275306,3.3379421944391554,1.0625,-0.01268382645327178,-0.00390853940871515
6.0,5.929535736275306,3.436116964863836,1.09375,-0.012371912804563817,-0.005815717559336509
6.0,5.929535736275306,3.5342917352885173,1.125,-0.011940042102981642,-0.007666893645458201
6.0,5.929535736275306,3.6324665057131984,1.15625,-0.01139294944479219,-0.009444241376345287
6.0,5.929535736275306,3.730641276137879,1.1875,-0.010736613976090829,-0.011130644910294994
6.0,5.929535736275306,3.8288160465625602,1.21875,-0.009978173157549036,-0.012709863547956677
6.0,5.929535736275306,3.9269908169872414,1.25,-0.009125818044793413,-0.014166688041601986
6.0,5.929535736275306,4.025165587411922,1.28125,-0.008188673494429751,-0.015487087043757536
6.0,5.929535736275306,4.123340357836604,1.3125,-0.007176668518008406,-0.01665834230410773
6.0,5.929535736275306,4.221515128261284,1.34375,-0.006100402033132881,-0.017669171316316568
6.0,5.929535736275306,4.319689898685965,1.3749999999999998,-0.004971008058795489,-0.018509836219881042
6.0,5.929535736275306,4.417864669110647,1.40625,-0.0038000225411656094,-0.019172237879836726
6.0,5.929535736275306,4.516039439535327,1.4375,-0.002599252300380643,-0.019649994201132004
6.0,5.929535736275306,4.614214209960009,1.46875,-0.001380645764053025,-0.019938501884534485
6.0,5.929535736275306,4.71238898038469,1.5,-0.0001561654718294783,-0.020034980994662943
6.0,5.929535736275306,4.81056375080937,1.53125,0.0010623364782178187,-0.019938501884534835
6.0,5.929535736275306,4.908738521234052,1.5625,0.0022632375044745346,-0.0196499942011327
6.0,5.929535736275306,5.006913291658733,1.59375,0.0034352548320547363,-0.019172237879837767
6.0,5.929535736275306,5.105088062083414,1.6250000000000002,0.004567544022591982,-0.018509836219882416
6.0,5.929535736275306,5.203262832508095,1.65625,0.005649784186996979,-0.017669171316318257
6.0,5.929535736275306,5.301437602932776,1.6875,0.006672250310576269,-0.016658342304109727
6.0,5.929535736275306,5.399612373357457,1.71875,0.007625874872072695,-0.015487087043759812
6.0,5.929535736275306,5.497787143782138,1.75,0.008502301742999286,-0.014166688041604524
6.0,5.929535736275306,5.595961914206819,1.78125,0.009293934911781144,-0.012709863547959464
6.0,5.929535736275306,5.6941366846315,1.8125,0.009993983143700532,-0.01113064491029798
