tag,target_kappaR,actual_kappaR,R,omega,kappa,A1,A2,A3,A4,A2_over_A1,amid_fundamental,left_right_amplitude_asymmetry,A2_quartic_local,A2_over_local_theory,phase_fit_rms
spp160,8.5,8.427899601441768,15.8203125,0.8462874708448075,0.5327264933257019,0.0011318891138614336,-1.2662545060786633e-06,6.68065086102699e-07,-1.571059410695928e-09,-0.001118708971198462,0.06267357974215691,-7.48432162059211e-13,-1.2053912506254357e-06,1.0504925313018887,3.598696398168716e-08
spp160,8.75,8.740044031124796,16.40625,0.8462874708448075,0.5327264933257019,0.0008339244365704586,-7.140914795021592e-07,8.436672188614472e-07,-1.654933180486774e-09,-0.0008563023796722923,0.05409332556512774,-7.447724388396129e-13,-6.689054864865491e-07,1.0675521339389085,3.6905053857126125e-08
spp160,9.0,9.052188460807825,16.9921875,0.8462874708448075,0.5327264933257019,0.0006141238531047823,-4.007611986406948e-07,7.366740824869866e-07,-1.4314985375737796e-09,-0.0006525739012002138,0.0468459974169687,-7.386813347312973e-13,-3.7625301684364776e-07,1.0651375024249479,3.738424291377656e-08
spp160,9.25,9.208260675649338,17.28515625,0.8462874708448075,0.5327264933257019,0.000526906858139491,-2.9941660326139143e-07,5.865620616397939e-07,-1.2460109437740764e-09,-0.0005682533803386654,0.0436646014364628,-7.348159460096108e-13,-2.839932591118608e-07,1.0543088388709099,3.728959959127371e-08
spp160,9.5,9.520405105332367,17.87109375,0.8462874708448075,0.5327264933257019,0.000387663562059994,-1.6716156490557632e-07,1.7719220547937294e-07,-8.316874761187855e-10,-0.0004312026748588426,0.0380853587259999,-7.192988079674839e-13,-1.6436987793081865e-07,1.0169841762365526,3.657131392562073e-08
spp160,9.75,9.676477320173882,18.1640625,0.8462874708448075,0.5327264933257019,0.0003323991928210287,-1.2559842746029332e-07,-3.44542690082419e-08,-6.375695701665573e-10,-0.00037785418909822195,0.035651340841824086,-7.09433858096872e-13,-1.262099234560914e-07,0.9951549293506162,3.6168322158285404e-08
spp160,10.0,9.988621749856911,18.75,0.8462874708448075,0.5327264933257019,0.00024412840650759278,-7.31374794809951e-08,-3.50639402079011e-07,-3.2994073460227364e-10,-0.00029958610932366206,0.03141319433234789,-6.856458610943886e-13,-7.607438224266906e-08,0.9613943265118401,3.584573663789069e-08
spp320,6.0,5.929535736275306,11.1328125,0.8463557896693058,0.5326179468373609,0.012466536512484597,-0.00015562075095585653,1.5647972895923766e-06,-1.4212874049320003e-08,-0.01248307826315756,0.2133674588443074,-1.726597659932113e-12,-0.00016192084812512175,0.961091500926447,3.8906030425983544e-08
spp320,6.25,6.2416165645003225,11.71875,0.8463557896693058,0.5326179468373609,0.009330506265525253,-8.570432142912182e-05,7.011732871411143e-07,-9.340612134462372e-09,-0.009185388122591563,0.182872354323776,-1.7363137594905027e-12,-8.737400733673968e-05,0.9808903590608717,3.75751854481708e-08
spp320,6.5,6.553697392725339,12.3046875,0.8463557896693058,0.5326179468373609,0.0069493436760819285,-4.677808714196047e-05,1.657338195884564e-07,-7.327633422013668e-09,-0.006731295690981593,0.15670155009354317,-1.7439610351547042e-12,-4.7106756309660765e-05,0.9930228868755098,3.6060284550654006e-08
spp320,6.75,6.709737806837847,12.59765625,0.8463557896693058,0.5326179468373609,0.005989068656940103,-3.445487449757166e-05,-4.728643339956715e-08,-6.005733438602909e-09,-0.005752960346788732,0.14505445834280298,-1.747944779812072e-12,-3.4587116521832e-05,0.9961765524981863,3.5654512279169004e-08
spp320,7.0,7.021818635062862,13.18359375,0.8463557896693058,0.5326179468373609,0.004438918105613695,-1.8618994328454026e-05,-3.621422048286285e-07,-3.231147353338266e-09,-0.004194489261900877,0.12430830162406006,-1.7545353796821384e-12,-1.8654798481976927e-05,0.9980807000645173,3.584428516452298e-08
spp320,7.25,7.177859049175371,13.4765625,0.8463557896693058,0.5326179468373609,0.003818331093970051,-1.367923501958001e-05,-4.44908497332834e-07,-2.1117293832168883e-09,-0.003582516728625866,0.11509028800786716,-1.7569966123800287e-12,-1.370707338200737e-05,0.9979690513320004,3.635533046694807e-08
spp320,7.5,7.489939877400387,14.0625,0.8463557896693058,0.5326179468373609,0.0028218238590205385,-7.408719543179392e-06,-4.210557435911938e-07,-8.170414017500645e-10,-0.002625507442463462,0.0986963368383552,-1.7607305853110392e-12,-7.4130028320582845e-06,0.9994221924669489,3.763052736732261e-08
spp320,7.75,7.802020705625403,14.6484375,0.8463557896693058,0.5326179468373609,0.0020828681704498538,-4.054786255237804e-06,-1.530009941366394e-07,-6.384037206507202e-10,-0.0019467320653145607,0.08470993960509093,-1.7639269018881253e-12,-4.022791453375784e-06,1.0079533831750516,3.8558301377161166e-08
spp320,8.0,7.958061119737911,14.94140625,0.8463557896693058,0.5326179468373609,0.001788900356257752,-3.015873897376303e-06,4.429265914513995e-08,-7.952205136343611e-10,-0.0016858814337123223,0.07851376704625354,-1.7633189232812798e-12,-2.9687477006975163e-06,1.0158740995968483,3.8862514880620404e-08
spp320,8.25,8.270141947962927,15.52734375,0.8463557896693058,0.5326179468373609,0.001318947409769393,-1.6856594292771872e-06,4.6312013082453806e-07,-1.2250194440230115e-09,-0.001278033844861116,0.06753002975589076,-1.7642641171751337e-12,-1.624717261931148e-06,1.0375093985728958,3.950726479329767e-08
